Title,Details,Status,Tags,Category,StateTag
"""Delete"" event in the Account Activity","Pain Point: If someone deletes an asset, it disappears from the dashboard. The disappearance is not logged anywhere.
If I know the ID/link to the asset, the best I can do is try to call it up and then get an error message. This gives me certainty that the asset is gone. But I don't know which user deleted it and when.  Solution: Solution: there is an account activity stream which contains many events. However, the delete event doesn't exist. If it would appear here, there would at least be some data on the asset that could be used for an internal search.",Open,"_⭐ Campaign Creation Squad, 🇩🇪 GER, Ex owner: Loreena, Q2 2025, App System, Processed",Build,Processed
1h talk with Vertbaudet,"AI Subjects & Experiment Requests Next AI Experiment Release:   Request to mix URL analysis and document analysis to summarize the tone of voice.   Tone of voice is critical as it forms the foundation for their text-generation solutions.   Personalization & AI Emotions:   Interested in AI emotions as presented by La Redoute at Monaco.   Find AB Tasty's presentation of AI emotions odd.     Main goal: Kameleoon should create Segments and assign AB tests to those segments.   Segments can be a mix of different personas (e.g., ""Future mother"" + ""Gift"").     They dislike the term ""hyper-personalization"" but want AB tests adapted to particular segments or segment mixes.   AI Opportunities:   Hard to identify clear opportunities.   Wish to have AI opportunities summarized in a centralized place.   Other AI subjects:   Natural Language Processing (NLP) is a key area for Kameleoon to improve on.   Using Generative AI to review and create code; they believe Claude is the best solution.     Other Subjects: Results Page:   Switching from sequential to CUPED to MTC is confusing.   Want a default view that provides relevant results first.     Struggles with stability: sometimes the old results page doesn't load (not an issue on the new one).   New results page presents too much information at first glance.   Code Editor:   Interested in the new code editor; if not GA in April, they should be included in the first wave of clients.   Code areas are too small across most of the platform.   Finalization Flow:   Want the ability to minimize the JS condition in quick targeting (possibly with a chevron).   Simulation:   Thinks it takes too long to load.   CTA is not intuitive; caused panic due to incorrect simulations.   Want the ability to deactivate all other AB tests at once to test ONLY the current one.   ROI & Forecasting:   Want a tool to generate segments with real revenue potential.   Ideally, an algorithm that scans the website and generates segments automatically (without manual prompts).     Like the idea of forecasting campaign contributions to the year’s revenue.   ""How can I know the potential of a test over a full year for ALL my visitors?""   Use and like Asana for project management (Kanban views, filtering, etc.).   Awaiting campaign management in Kameleoon.     Appreciate highly configurable dashboards.   Other Platform Considerations:   Discussed data availability on the Home Page, including total profit, potential uplift, etc.",Open,"Ex owner: Vincent Taldir, Q1 2025, Core Techno, Processed",Set up,Processed
A direct interface to Piwik PRO (CDP),The customer's wish is to have a direct interface to Piwik PRO (CDP) in order to be able to use the audiences for personalization.,Open,"🇩🇪 GER, _⭐ Integrations Squad, Ex owner: Yassin Hassan, Q3 2024, Integrations, Processed",Set up,Processed
A notification about experiment segments crossing,"Before we launch the new experiment for some hypotheses it is critical to check if there are experiments live with the users intersections, it would be nice to have a notifications before launching. This update valid for several clients. In addition, at the page result there is a filter when we can exclude the users who got into the group of another experiment, but it works only if the experiment paused or stopped. Could we change it?",Open,"_⭐ Campaign Creation Squad, _⭐ Reporting Squad, Ex owner: Viktoria Kachalova, Q2 2024, App System, Unprocessed",Build,Unprocessed
A/B Testing manager,"I as a A/B Testing manager
Want to be able immediately to delete the previous selected filter(s) within the filter overlay
So that I do not need scroll back to top or type the name of the filter again in the filter overlay search bar.
Now I must tipe the selected filter (e.g. some goal by using filter ""Conversions"") again in the search within the filter overlay OR scroll back to top and delete the selected filter(s) via klick on x within the header.
Thanks in advance!
Irina Volkland
Conversion Rate Optimization",Open,"_⭐ Reporting Squad, new idea, nice to have, Ex owner: nan, Q2 2023, Data & Governance, Processed",Analyze,Processed
ACCOR MAJE Rubix able change text element,"ACCOR / MAJE / Rubix -> Be able to change the text of a element in the graphical editor in various language based on a custom data (for example).
->Instead of using the workaround to use the ""content"" selector
Important for enterprise account",Open,"new idea, important, Ex owner: Ivan Kulagin, Q3 2025, Unprocessed",General,Unprocessed
AI based code editor,"Thanks to AI capabilities, it would be great to propose in some of our our based editor an AI editing the code written by user to make it ""Kameleoon ready"".
More in details, it would check and if necessary change the code to  :   ensure the correct use of RWEP instead of document.querySelectorAll   ensure the use of return in the custom JS targeting condition ""Check condition immediatly""   ensure the use of setTargeting(true) in the custom JS targeting condition ""Run the condition asynchronously""   Check the correct format of all Kameleoon API    Etc",Open,"_⭐ AI copilot Squad, _⭐ Campaign Creation Squad, Ex owner: nan, Q1 2024, Core Techno, Unprocessed",Set up,Unprocessed
AI builder Edit prompt for image generation,"In AI builder When an image generation is requested and you're not satisfied with either of the two proposals, there's no way to modify the prompt or notify that you're unhappy with the result: you have to click on one of the two proposals.
Would it be possible to add a CTA to modify/clarify/return to the prompt?",Open,"Ex owner: Vincent Taldir, Q2 2025, Processed",General,Processed
AI goals,"AI goals : Create custom goals based on a prompts.
This would be SUPER helpful!
Example : trigger the goal when visitors click on the ""add to cart CTA"" only on PDPs of products for which url contains ""category-2"" and only for signed-in visitors
I'm sure this would be a quick win that would be extremely valuable!",Open,"Ex owner: Vincent Taldir, Q2 2025, Processed",General,Processed
AI support in the Graphic Editor,"The customer wants more AI in the Graphic Editor.
There is currently support for the barrier-free accessibility of headings, for example.
One suggestion is that the AI should support where it is best to place the element.
A possible suggestion is that the place where the element is best placed is highlighted in color.",Open,"_⭐ Campaign Creation Squad, 🇩🇪 GER, Ex owner: Fabien DIMEGLIO, Q3 2024, Processed",General,Processed
