Title,Description,User_Notes,Status,Original_PB_Status,PB_ID,Needs_Enrichment
Web Experimentation,,,Closed,Rejected,6783323,Yes
AI-Driven Personalization,,,Closed,Rejected,6783363,Yes
"Data, Common  & Infrastructure",,"

---
**User Feedback:**
- Server-side tagging is a new way to use Google Tag Manager to instrument your application across devices. Server containers use the same tag, trigger, and variable model that you're used to: https://developers.google.com/tag-platform/tag-manager/server-side/intro?hl=en It would be great to create a template to easily push conversion server to server",Closed,Rejected,6783364,Yes
Full-stack enhancements,"![](https://pb-files.s3.amazonaws.com/production/attachments/c986c80ccf7d0d4f46a2e9c6d2197e56dad92baf88287db157fe35451a5962a6/6A.jpg) Updates of all our server-side SDKs (Java, C#, PHP and NodeJS) and mobile Apps SDKs (Android, iOS) - Ability to [retrieve JSON](https://developers.kameleoon.com/php-sdk.html#obtainvariationassociateddata) data associated with a variation of an experiment. - Custom data targeting for experiments and feature flagging - Full support to [feature flagging and rollout](https://developers.kameleoon.com/php-sdk.html#activatefeature) with a dedicated interface to empower tech teams to safely deliver and control updates through feature flags. We bring with it [remote variables](https://developers.kameleoon.com/php-sdk.html#obtainfeaturevariable) control (JSON, string, boolean, number) and custom data targeting capabilities to release feature flags to group of users.",,Complete,Released,6786300,No
Addition of global business KPIs to Audiences Explorer,"## 💁‍♂️ Problem/Context **Description:** As a marketer or a business manager, when I want to have direct insights on how much the use of Kameleoon brings to my business, I can't find these data on the platform. - **Existing workaround:** Yes - **Workaround description:** Customers may ask for an Excel analysis to their CSM **Project justification:** - **Project type:** Requested capability - **Justification:** Lots of customers are awaiting this feature ## 💡 Solution - **Product package:** Personalization - **Product scope:** Audiences main dashboard - **User roles**: Marketers - **Design:** - The top KPI block of the Audiences main dashboard will be reworked, to add these new KPIs (along with an explanation on each one, and how it is calculated) which will take into account a 1-year-period: - Total revenue - Revenue per visit - Generated additional revenue - Potential additional revenue ![](https://pb-files.s3.amazonaws.com/production/attachments/f156365d050b5436d393def308771caf801e2c29a81ae32b61f9feb7ba640b38/BAPTISTE_Hover_Revenue_per_visit-test_-_6.jpg) ## 🎯 **Measuring Success** - **Goal 1:** use of the feature - **Success metric:** number of interactions from customers with this area of the Audiences main dashboard - **Goal 2:** lighten the workload of CSMs - **Success metric:** number of custom requests from customers to consultants to have these data in an Excel file - **Goal 3:** encourage package uplifts from customers who haven't subscribed to the Personalization package yet - **Success metric:** evolution of the AB customers subscribing to the Personalization package --- ## 📄 Attached documents - **Figma file**: - **Spec file**: - **Redmine ticket**:",,Complete,Released,6786330,No
Predict Analytics - new workflow,"- Current predict page remains hidden and unchanged - From the ""Goals page"", we add one secondary action for goals where machine learning was activated. This secondary action is ""Check the learning"" and then it opens a chart for this goal (the one currently displayed on Predict page) - On the Audiences pages, we add some predictive segments easy to understand (""hot"" / ""cold"" ...) - No change on segment builder (except that we remove targeting condition ""conversion probability"") ![](https://pb-files.s3.amazonaws.com/production/attachments/de0bcbd7b0a8a7ce05813fbb4c69a7bd11f2b76a5d0e6ffdef3eb1e38b63375e/14C.jpg)",,Planned,Candidate,6786331,No
New Widget editor,"Main User Benefit : Simplify widget creation / edition thanks to a wysiwyg editor - Visual editor for the creation of widgets from scratch - Library of ready to use widgets: pop-in, banners, countdown banner... - Easy management of created widget, with a widget dashboard page - Update of the logic we associate widgets in campaigns ![](https://pb-files.s3.amazonaws.com/production/attachments/10a0c54592bc8f5924a326d97bc9e31147da4b8c17f75909f092e3168e89ddb2/10A.jpg) ![](https://pb-files.s3.amazonaws.com/production/attachments/c65d02042d0ea3d74f505f6045fac319ceb8910e6ba42ca4ecdae06e7c3ea2dc/Type_of_creation_(1).jpeg) **Hypothesis driving this project** Marketers do not see the value of our existing widget library (and to some extend our personalization module) because widgets cannot be easily customized to their needs, so we expect that solving this problem will increase the overall satisfaction of customers with our Personalization module and increase our ability to convince marketers users during sales speech. **Metric(s) and Baseline: How we will evaluate success** Baseline: number of predefined widgets used in production / month Metrics to measure when the feature is released: 1. Number of widgets created 2. NPS satisfaction measured for personalization customers (Appcues NPS for personalization customers only) 3. Win rate against AB Tasty thanks to the new widget graphic editor **Business Impact** - We expect to upsell more existing A/B testing customers to the Personalization module - We expect to increase our winning rate against A/B Tasty **Problem Statement. What pain point(s) are we trying to address?** - Today we provide a library of predefined widgets for marketers and a code-based editor to build custom widgets for developers. However, marketers can not simply create new widgets (eg. popin or banner) or adapt our existing widgets to their needs because we do not provide the right user experience or the right tools for that, so we expect that solving this problem will increase the satisfaction among our existing customers and improve our sales performance (especially when we are against AB Tasty) **How do people currently solve this problem? How do our competitors address this problem?** - They mainly ask our professional team to build custom widgets (with code) - Some competitors (Dynamic Yield or AB Tasty) provide a graphic editor or well designed widgets that can be easily customizable. **What is the project type and our justification for doing this project?** - Requested capability among SMB customers with no access to a technical team. - Some customers churned by the past to AB Tasty because they offered a more adapted product to their needs. **Jobs to be done** P0 “Must have” - Graphic editor for Personalization customers only - library of predefined templates that a customer can use if he does not want to start from scratch P1 “Nice to have” - Module that can be added as an add-on to A/B testing only customers - Ability to generate a HTML view (to embed on a mobile app as a webview). Requested by BPCE Customer) and would make sense for mobile apps customers. Dynamic Yield provides this option. - Additional components (countdown, tooltip, newsletter popin..) **When do we expect to launch?** - End of January in production - A/B testing customers only will still be able to use the existing library of widgets. So no change/update for them.",,Complete,Released,6786332,No
Audience middle-term enhancements,,,Planned,Candidate,6786335,Yes
BPCE topics,Topics to determine dedicated to BPCE Customer.,,Planned,Planned,6786338,Yes
Alias for Site URL,"- Addition of a text input for the name on the website creation pop-in - Adaptation of overlays"" ![](https://pb-files.s3.amazonaws.com/production/attachments/c81aaa56b921e09acd61542f59a634c475c5fa47ed7d98b9f8fca299c4a824c7/2A.jpg)",,Complete,Released,6786348,No
Archive feature for AB & Perso,"Creation of a status ""Archive"" for Experiment & Perso in order to get a dedicated view to get rid of useless campaigns without deleting them and losing what was done. ![](https://pb-files.s3.amazonaws.com/production/attachments/a3920a419730fae848171b796f16fddedcc0f80eaff5759bb84d31a24f4e8228/image_(2).png)","

---
**User Feedback:**
- Belambra's request : ""It would be cool if the test archiving feature came soon!Or we should add in the filters, a filter by exclusion!ex.In the dashboard I have created a tag ""archived"" and in fact I would like to exclude all the tests containing this tag from the dashboard. This will allow me to ""virtually"" archive some tests.",Complete,Released,6786349,No
