Title,Details,Status,Tags,Category
AI-Driven Personalization,We are exploring the addition of 'AI-Driven Personalization' to our roadmap. This initiative aims to address specific user needs and expand the platform's core capabilities.,Closed,,Roadmap
"Data, Common  & Infrastructure","Server-side tagging is a new way to use Google Tag Manager to instrument your application across devices. Server containers use the same tag, trigger, and variable model that you're used to: https://developers.google.com/tag-platform/tag-manager/server-side/intro?hl=en It would be great to create a template to easily push conversion server to server",Closed,,Roadmap
Full-stack enhancements,"![](https://pb-files.s3.amazonaws.com/production/attachments/c986c80ccf7d0d4f46a2e9c6d2197e56dad92baf88287db157fe35451a5962a6/6A.jpg) Updates of all our server-side SDKs (Java, C#, PHP and NodeJS) and mobile Apps SDKs (Android, iOS) - Ability to [retrieve JSON](https://developers.kameleoon.com/php-sdk.html#obtainvariationassociateddata) data associated with a variation of an experiment. - Custom data targeting for experiments and feature flagging - Full support to [feature flagging and rollout](https://developers.kameleoon.com/php-sdk.html#activatefeature) with a dedicated interface to empower tech teams to safely deliver and control updates through feature flags. We bring with it [remote variables](https://developers.kameleoon.com/php-sdk.html#obtainfeaturevariable) control (JSON, string, boolean, number) and custom data targeting capabilities to release feature flags to group of users.",Complete,Squad FM&E,Roadmap
Addition of global business KPIs to Audiences Explorer,"## Problem/Context As a marketer or a business manager, when I want to have direct insights on how much the use of Kameleoon brings to my business, I can't find these data on the platform. - **Existing workaround:** Yes - **Workaround Customers may ask for an Excel analysis to their CSM **Project justification:** - **Project type:** Requested capability - **Justification:** Lots of customers are awaiting this feature ## Solution - **Product package:** Personalization - **Product scope:** Audiences main dashboard - **User roles**: Marketers - **Design:** - The top KPI block of the Audiences main dashboard will be reworked, to add these new KPIs (along with an explanation on each one, and how it is calculated) which will take into account a 1-year-period: - Total revenue - Revenue per visit - Generated additional revenue - Potential additional revenue ![](https://pb-files.s3.amazonaws.com/production/attachments/f156365d050b5436d393def308771caf801e2c29a81ae32b61f9feb7ba640b38/BAPTISTE_Hover_Revenue_per_visit-test_-_6.jpg) ## **Measuring Success** - **Goal 1:** use of the feature - **Success metric:** number of interactions from customers with this area of the Audiences main dashboard - **Goal 2:** lighten the workload of CSMs - **Success metric:** number of custom requests from customers to consultants to have these data in an Excel file - **Goal 3:** encourage package uplifts from customers who haven't subscribed to the Personalization package yet - **Success metric:** evolution of the AB customers subscribing to the Personalization package --- ##",Complete,Squad Data,Roadmap
Predict Analytics - new workflow,"Current predict page remains hidden and unchanged - From the ""Goals page"", we add one secondary action for goals where machine learning was activated. This secondary action is ""Check the learning"" and then it opens a chart for this goal (the one currently displayed on Predict page) - On the Audiences pages, we add some predictive segments easy to understand (""hot"" / ""cold"" ...) - No change on segment builder (except that we remove targeting condition ""conversion probability"") ![](https://pb-files.s3.amazonaws.com/production/attachments/de0bcbd7b0a8a7ce05813fbb4c69a7bd11f2b76a5d0e6ffdef3eb1e38b63375e/14C.jpg)",Under Review,Squad Data,Roadmap
New Widget editor,"Main User Benefit : Simplify widget creation / edition thanks to a wysiwyg editor - Visual editor for the creation of widgets from scratch - Library of ready to use widgets: pop-in, banners, countdown banner... - Easy management of created widget, with a widget dashboard page - Update of the logic we associate widgets in campaigns ![](https://pb-files.s3.amazonaws.com/production/attachments/10a0c54592bc8f5924a326d97bc9e31147da4b8c17f75909f092e3168e89ddb2/10A.jpg) ![](https://pb-files.s3.amazonaws.com/production/attachments/c65d02042d0ea3d74f505f6045fac319ceb8910e6ba42ca4ecdae06e7c3ea2dc/Type_of_creation_(1).jpeg) **Hypothesis driving this project** Marketers do not see the value of our existing widget library (and to some extend our personalization module) because widgets cannot be easily customized to their needs, so we expect that solving this problem will increase the overall satisfaction of customers with our Personalization module and increase our ability to convince marketers users during sales speech. **Metric(s) and Baseline: How we will evaluate success** Baseline: number of predefined widgets used in production / month Metrics to measure when the feature is released: 1. Number of widgets created 2. NPS satisfaction measured for personalization customers (Appcues NPS for personalization customers only) 3. Win rate against AB Tasty thanks to the new widget graphic editor **Business Impact** - We expect to upsell more existing A/B testing customers to the Personalization module - We expect to increase our winning rate against A/B Tasty **Problem Statement. What pain point(s) are we trying to address?** - Today we provide a library of predefined widgets for marketers and a code-based editor to build custom widgets for developers. However, marketers can not simply create new widgets (eg. popin or banner) or adapt our existing widgets to their needs because we do not provide the right user experience or the right tools for that, so we expect that solving this problem will increase the satisfaction among our existing customers and improve our sales performance (especially when we are against AB Tasty) **How do people currently solve this problem? How do our competitors address this problem?** - They mainly ask our professional team to build custom widgets (with code) - Some competitors (Dynamic Yield or AB Tasty) provide a graphic editor or well designed widgets that can be easily customizable. **What is the project type and our justification for doing this project?** - Requested capability among SMB customers with no access to a technical team. - Some customers churned by the past to AB Tasty because they offered a more adapted product to their needs. **Jobs to be done** P0 Must have - Graphic editor for Personalization customers only - library of predefined templates that a customer can use if he does not want to start from scratch P1 Nice to have - Module that can be added as an add-on to A/B testing only customers - Ability to generate a HTML view (to embed on a mobile app as a webview). Requested by BPCE Customer) and would make sense for mobile apps customers. Dynamic Yield provides this option. - Additional components (countdown, tooltip, newsletter popin..) **When do we expect to launch?** - End of January in production - A/B testing customers only will still be able to use the existing library of widgets. So no change/update for them.",Complete,Squad Perso,Roadmap
Audience middle-term enhancements,Enable to set several time ranges in the dates pop-in: Data table KPIs quick rework (option to remove hover):,Under Review,Squad Data,Roadmap
BPCE topics,Topics to determine dedicated to BPCE Customer.,Planned,Squad Perso,Roadmap
Alias for Site URL,"Addition of a text input for the name on the website creation pop-in - Adaptation of overlays"" ![](https://pb-files.s3.amazonaws.com/production/attachments/c81aaa56b921e09acd61542f59a634c475c5fa47ed7d98b9f8fca299c4a824c7/2A.jpg)",Complete,Squad Interfaces,Roadmap
Archive feature for AB & Perso,"Creation of a status ""Archive"" for Experiment & Perso in order to get a dedicated view to get rid of useless campaigns without deleting them and losing what was done. ![](https://pb-files.s3.amazonaws.com/production/attachments/a3920a419730fae848171b796f16fddedcc0f80eaff5759bb84d31a24f4e8228/image_(2).png) Belambra's request : ""It would be cool if the test archiving feature came soon!Or we should add in the filters, a filter by exclusion!ex.In the dashboard I have created a tag ""archived"" and in fact I would like to exclude all the tests containing this tag from the dashboard. This will allow me to ""virtually"" archive some tests.",Complete,Squad Interfaces,Roadmap
New account options in app,"## Problem\/Context As a client, I want to have access to my account options from my configuration pages and account parameters in the back office , so I can configure myself with common & simple options without having to call a consultant. Main actions: - Migration of several options from the Back-office admin to the Back-office client, in the configuration pages and in the account parameters for super admins. - Move some non-touchy options from the admin Back-office to the customer Back-office, so customers will be able to configure themself without having to call a consultant. ![](https://pb-files.s3.amazonaws.com/production/attachments/27d2c6e5a8f3120fecb1d30c34f07b903ee171e3975846586d43580fdb993e31/4A.jpg) A list of the most urgent options to migrate was determined: - Use Single Page Support - Excluded IP - Use sharp in URL - 15 min http session - Enable extended security - Maximum password attempts - IP White List - **Existing workaround:** Yes - **Workaround The client call a consultant to change his options. **Project justification:** - **Project type:** Reduce the number of calls\/contact of clients only to change common options in their Back-office - **Justification:** Thanks to this feature, we can expect fewer calls than before. Quote of Vanessa, CSM: > Some of them below would deserve to be migrated to the customer \(in terms of user comfort and flexibility for the user perhaps\): Excluded IP IP White List ## Solution - **Product package:** Full-stack - **Product scope:** On Back-office : parameter of sites \(site page\), parameter of the account - **User roles**: All expect consultant \(they have access to Back-office admin interface\) - **Design:** This is what the solution consists in for the parameters of the account: - On the Back-office, you click on the new section Customer account settings - On the pop-in of the client account setting, there are 3 tabs - Location tab - with 1 option : **Timezone setting**\) - Access to the account tab - With option Maximal password attempts - With option 15 min http session - With option IP white list - Password tab - With the option Enable extended security - With option Password regeneration This is what the solution consists of for the parameters of the site: - On the site page \(on admin\), A new subsection called Advanced settings just below the existing one Global custom script - Advanced characteristics: Enable support for dynamic websites \(Single Page App, Progressive Web App...\) - Advanced characteristics: Use the ""#"" symbol \(instead of the default ""?""\) in all Kameleoon URL parameters - Advanced characteristics: Exclude certain IP addresses from the results of your experiments ## **Measuring Success** - **Goal 1:** Onboarding, Customers can self-setting with their parameters on the Back-office - **Success metric:** time spend by consulting teams to manage client setting decreased --- ##",Complete,Squad Interfaces,Roadmap
Advanced tools page redesign and migration,"Creation of two different pages: one for custom data, another for the other tools - Pages based on others dashboard pages, with a filter sidebar. ![](https://pb-files.s3.amazonaws.com/production/attachments/e261c8af3e5637e23c05ea916306d5ca71fea3424e3db957f6972205a4803dcf/13A.jpg) - Migration of all elements \(popups, creation steps, etc\) For BPCE it would be amazing they have more than 4000 custom data across all sites",Complete,Squad Interfaces,Roadmap
Team Page - Redesign back and front of the page,"New app design & automation API in front - Removal of ""iframe"" technics - Design of the page similar to other dashboard pages (filter sidebar) - Usage of our Automation API"" ![](https://pb-files.s3.amazonaws.com/production/attachments/3aee96b075546fda3e0d5d161cb6479509b44838865fe087c6b1aa39c045f5a4/3A.jpg)",Complete,Squad Interfaces,Roadmap
Configurable columns on Web experiment and Personalization dashboards,"## Problem\/Context - As I user I would to have access to a customizable view of my dashboard in the Back-office client so I can have access only to sections that interesting me - **Existing workaround:** Yes - **Workaround The client can consult sections is interesting in manually **Project justification:** - **Project type:** to fill in *\(refer to PDB Template - slide 9\)* - **Justification:** Requested capability on existing customers ## Solution - **Product package:** Full stack - **Product scope:** The operation is the same on all pages \(A\/B tests, Perso, Segments, Goals, Websites\). - **User roles**: all - **Design:** For one dashboard - Fist on the right sidebar next to filter a tab will be present: columns . With this new functionality Columns, users can customize their dashboards : they can choose which columns they want to display. ![](https://pb-files.s3.amazonaws.com/production/attachments/ddf16368ce7bdfb49a77eea904f39134f481a0e3dbe5da1684f8c8d3d930f164/Capture_d_ecran_2022-07-25_a_17.26.56.png) To custom the view by default, there will be a wheel icon to acces to parameter ![](https://pb-files.s3.amazonaws.com/production/attachments/c4d6c59312081b4cf40bc3674063b233efdbf62b88625e227f0a8679f9699b62/Capture_d_ecran_2022-07-25_a_17.28.09.png) - There will be elements displayed by default: - Name - Type - Status - Modified - Tag - and elements not displayed by default - Author - Created - Website\/project - Main goal - Online - Results exploitability With a checkbox system, user can select element he want to be displayed or not ![](https://pb-files.s3.amazonaws.com/production/attachments/2ba3a0ae90ba55c7e6f11845dd3657f65f1ee7e951e4488a5b129ec55f5231bb/Capture_d_ecran_2022-07-25_a_17.31.43.png) ## **Measuring Success** - **Goal 1:** Retenion: adress critical user pain points - **Success metric:** Allow user to easily customize their dashboard view. - **Success metric:** Save user time with adapted view they can use to have access to only relevant informations - **Goal 2:** Satisfaction - **Success metric:** Save user time with adapted view they can use to have access to only relevant informations --- ##",Complete,Squad Interfaces,Roadmap
Multiple Organizations per User,"## **Feature short The goal is to provide features to our solution partners that are managing Kameleoon for their clients. - Multiple Organizations per User ## Problem Solutions partners need a scalable way to access and manage multiple customers. **Workaround:** - **Existing workaround:** Yes - **Workaround Creating a specific user on each customer's account and login to this specific user each time they have to work for the client. Context : - Ability to switch very easily from one account to another one \(via the header\) from the same e-mail address - Some customers have many independent entities \(for example BPCE : BPCE, Natixis, Printemps : Citadium, Fashion 3, Place des tendances\). Currently we have to create one customer for each entity, and users with different email addresses for each entity as well. The goal of this US is to add the possibility to manage customer's entities and associated users. After login a user should be able to choose the entity he want to login to, and then in app he also should be able to switch between entities. We need to do a research about this task first to know what exactly needs to be done \(backend, frontend, access management, administration\) - Multiple Organizations per User interesting if you have multiple accounts for agency Multi Accounts e.g. for agenciesnschmidt@kameleoon.comsebastianb@trkkn.com =&gt; already have an accountbut should be also enabled on this account:Login: Simon Reuvers message from Natalie Schairer:Case: They want to add following User to their account: It is not possible because he is added to another account. Because we got more and more constructs like this we need an opportunity to add one customer to different accounts. Looking forward to your feedback how this would be possible.Thx for the feedback! Because we are working with partner agencies (partner contracts) it is necessary to work with one e-mail for different customers. We got trouble therefore with Luisa Cerano, Flightright, Lexoffice, Trkkn",In Progress,,Roadmap
"Custom analytics integration tool + addition of tech integrations (Zapier, Chrome extension, GIT..)",Creation of a generic integration. It will be a framework (with a zone with code to paste) to add specific integrations. ![](https://pb-files.s3.amazonaws.com/production/attachments/3c84fca541e947b96b62fe8d68ee44f18dd3bae3588b7bc12e5c9bbd1aa56e02/15A.jpg),Complete,Squad Dev Tools,Roadmap
New page for cross-campaigns performance comparison,"New page added on ""Explore"" menu. User can can choose the KPI of his choice and we list all experiements linked to this KPI, with their performance. Average performance is also provided. ![](https://pb-files.s3.amazonaws.com/production/attachments/cb39e385f2580819d741779713e09902ff7c241d60051a4f90f7c61eb8f57af2/22A.jpg) Hello The product Team, I have a client that want to create weekly, monthly, 6-month and 1-year reports on the tests launched during these periods. The main objective being to realize the performance of the tests through ""simple"" dashboards which would allow to compare conversions in current week vs week S-1, current month vs month m-1 ... Currently we go through pivot tables but which require exporting via the KAM results page. Copy / paste the data into another file with all the periods and then do the analysis.What is needed is to give the client the possibility of making an export by selecting several tests, by splitting by week, month etc. and then to be able to make the template in ""pivot tables"" mode or a bit like on GA and that the data is updated if the customer wishes a daily export for example.If you want I can show you an example of my client files. It's an important request and if you can help me to gain time it would be wonderful. Do not hesitate to slack me if you want talk face-to-face on the subject. That would prioritizing the dev of wining XP's Problem: The key information block in the Audience modul presents data about the performance of your experiment program for the last 12 months. The date range isn't adjustable. The formulas are perfectly suitable for justifying the tool fees in management or to take them into consideration for the ROI calculation. However it would be necessary to set an adjustable time period for this, rather than a fixed 12 months. Solution: Use a date range setting for the key information block. There are plenty of examples in the tool, e.g. from the new Result page or from the list view in the Audience module below. The customer requests such reports from the CSM, which builds them manually. These are of course very static and difficult to standardize. The customer wants such an overview. Create the alert for decreasing average cartThe idea is to create the alert for decreasing average cart with high reliability 95%, it can help client to control the revenue decreasing, even if in general revenue has low reliability of decrease, variation still can show the revenue drop in average cart. Such update could help client to prevent revenue loss.",Planned,Squad Data,Roadmap
