id,feature_type,created_at,updated_at,name,description,state_name,releases,parent_id,parent_name,owner_name,tags,start_date,end_date,teams,Marketer,Product Manager,Developer,"",Business impact,User benefits,AB Tasty,Optimizely,Launchdarkly,VWO,Statsig,Eppo,Adobe Target,Split,Product Spec,Development,Design Assets,Effort in sprints,Strategic objective,React / Native 🔵,Flutter 🔵,Android 🔵,Go 🔴,Python 🔴,Node JS 🔴,PHP 🔴,C# 🔴,Java 🔴,JS/TS 🔵,iOS 🔵,Ruby 🔴,Released with Feature Flag,Adoption flow done,User testing done,Squad,=,% of users who tried after 2 weeks,Total effort in sprints,Main justification,Benefit Score,Ratio Benefits / Effort,Customers can self-onboard with our A/B testing platform priority,Customers can self-onboard with our A/B testing platform value,Address critical user pain points (cleaning) priority,Address critical user pain points (cleaning) value,Increase user engagement priority,Increase user engagement value,Build a very first MVP on Product Recommendation priority,Build a very first MVP on Product Recommendation value,Developers can install and operate Kameleoon without any external support priority,Developers can install and operate Kameleoon without any external support value,Demonstrate product/market fit for Feature Management priority,Demonstrate product/market fit for Feature Management value,Tech re-architecturing of our machine learning algorithms priority,Tech re-architecturing of our machine learning algorithms value,Add new ways of analyzing campaigns data priority,Add new ways of analyzing campaigns data value,Improve the success rate of our data existing solutions priority,Improve the success rate of our data existing solutions value,Make our existing AI solution usable in self mode by our customers priority,Make our existing AI solution usable in self mode by our customers value,Continue major tech-debt re-platforming effort priority,Continue major tech-debt re-platforming effort value,Provide the testing infrastructure to allow all squads to test and ship new features priority,Provide the testing infrastructure to allow all squads to test and ship new features value,Release with a minimal user impact priority,Release with a minimal user impact value,Increase developers engagement priority,Increase developers engagement value,Ensure our product is stable as it scales and we stretch our product lines priority,Ensure our product is stable as it scales and we stretch our product lines value, priority, value,#1  - Frictionless experience priority,#1  - Frictionless experience value,#2 - Needs of mature XP teams priority,#2 - Needs of mature XP teams value,#3 - AI-Innovation priority,#3 - AI-Innovation value,Finish all LOT 1 Capabilities priority,Finish all LOT 1 Capabilities value,Liliia: Ratio metrics priority,Liliia: Ratio metrics value,Alisher : Data query + missing stats. methods priority,Alisher : Data query + missing stats. methods value,Goal Metadata priority,Goal Metadata value,RP Satisfaction = Fix RP Design inconsistencies + Feedback priority,RP Satisfaction = Fix RP Design inconsistencies + Feedback value,Migrate Users RP: RP LOT 2: Add views and Comments priority,Migrate Users RP: RP LOT 2: Add views and Comments value,CSV File Widget priority,CSV File Widget value,Goal improvements with Graphic editor priority,Goal improvements with Graphic editor value,Live Events priority,Live Events value,Global alerts priority,Global alerts value,Opportunities in Alerts / AI Assist priority,Opportunities in Alerts / AI Assist value,Pre-built  segments: priority,Pre-built  segments: value,Statistical capabilities priority,Statistical capabilities value,Widget Studio in RP priority,Widget Studio in RP value,Statistical capabilities priority,Statistical capabilities value,Designer,SDK checklist
6783323,product,2021-01-25 16:18:13 UTC,2024-12-18 15:18:04 UTC,Web Experimentation,<p></p> ,Rejected,,,,Fabien DIMEGLIO,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6783363,product,2021-01-25 16:19:45 UTC,2023-06-26 08:00:14 UTC,AI-Driven Personalization,"",Rejected,,,,Fabien DIMEGLIO,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6783364,product,2021-01-25 16:19:48 UTC,2022-05-09 15:43:04 UTC,"Data, Common  & Infrastructure",<p></p>,Rejected,,,,Fabien DIMEGLIO,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tribe Marketers,
6786300,feature,2021-01-25 17:46:09 UTC,2021-07-16 13:06:45 UTC,Full-stack enhancements,"<p></p> ![](https://pb-files.s3.amazonaws.com/production/attachments/c986c80ccf7d0d4f46a2e9c6d2197e56dad92baf88287db157fe35451a5962a6/6A.jpg) Updates of all our server-side SDKs (Java, C#, PHP and NodeJS) and mobile Apps SDKs (Android, iOS) - Ability to [retrieve JSON](https://developers.kameleoon.com/php-sdk.html#obtainvariationassociateddata) data associated with a variation of an experiment. - Custom data targeting for experiments and feature flagging - Full support to [feature flagging and rollout](https://developers.kameleoon.com/php-sdk.html#activatefeature) with a dedicated interface to empower tech teams to safely deliver and control updates through feature flags. We bring with it [remote variables](https://developers.kameleoon.com/php-sdk.html#obtainfeaturevariable) control (JSON, string, boolean, number) and custom data targeting capabilities to release feature flags to group of users.   ",Released,,8692201,Feature Experimentation,Fabien DIMEGLIO,🙂 FF/SDK Squad,2021-03-01,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Squad FM&E,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6786330,feature,2021-01-25 17:48:31 UTC,2022-05-17 16:14:49 UTC,Addition of global business KPIs to Audiences Explorer,"## 💁‍♂️ Problem/Context <u>**Description:**</u> As a marketer or a business manager, when I want to have direct insights on how much the use of Kameleoon brings to my business, I can't find these data on the platform. <p></p> - **Existing workaround:** Yes - **Workaround description:** Customers may ask for an Excel analysis to their CSM <p></p> <u>**Project justification:**</u> - **Project type:** Requested capability - **Justification:** Lots of customers are awaiting this feature  ## 💡 Solution - **Product package:** Personalization - **Product scope:** Audiences main dashboard - **User roles**: Marketers - **Design:**    - The top KPI block of the Audiences main dashboard will be reworked, to add these new KPIs (along with an explanation on each one, and how it is calculated) which will take into account a 1-year-period:     - Total revenue     - Revenue per visit     - Generated additional revenue     - Potential additional revenue <p></p> ![](https://pb-files.s3.amazonaws.com/production/attachments/f156365d050b5436d393def308771caf801e2c29a81ae32b61f9feb7ba640b38/BAPTISTE_Hover_Revenue_per_visit-test_-_6.jpg) ## 🎯 **Measuring Success** - **Goal 1:** use of the feature - **Success metric:** number of interactions from customers with this area of the Audiences main dashboard <p></p> - **Goal 2:** lighten the workload of CSMs - **Success metric:** number of custom requests from customers to consultants to have these data in an Excel file <p></p> - **Goal 3:** encourage package uplifts from customers who haven't subscribed to the Personalization package yet - **Success metric:** evolution of the AB customers subscribing to the Personalization package <p></p> --- ## 📄 Attached documents - **Figma file**: <https://www.figma.com/file/lGigCrp0q0fTlUf12FqsDD/US-10380---Revenue-KPIs-temporary-solution?node-id=0%3A1> - **Spec file**: <https://docs.google.com/document/d/1sJQtzp8gtqnF4Z0fy-yqs3-oWKv1PAfvSuQIw1GL3Ko/edit> - **Redmine ticket**: <https://project.kameleoon.net//issues/10380> <p></p>",Released,(Releases) rc95 - Audience Revenue KPIs temporary solution,9564706,Audiences,Tribe Marketers,"external, _⭐ Reporting Squad",2022-01-01,2022-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Squad Data,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tribe Marketers,
6786331,feature,2021-01-25 17:48:32 UTC,2021-10-08 14:56:09 UTC,Predict Analytics - new workflow,"- Current predict page remains hidden and unchanged - From the ""Goals page"", we add one secondary action for goals where machine learning was activated. This secondary action is ""Check the learning"" and then it opens a chart for this goal (the one currently displayed on Predict page) - On the Audiences pages, we add some predictive segments easy to understand (""hot"" / ""cold"" ...) - No change on segment builder (except that we remove targeting condition ""conversion probability"") ![](https://pb-files.s3.amazonaws.com/production/attachments/de0bcbd7b0a8a7ce05813fbb4c69a7bd11f2b76a5d0e6ffdef3eb1e38b63375e/14C.jpg) <p></p>",Candidate,,9564716,IA,Tribe Data Analysts,Data Tribe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Squad Data,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tribe Data Analysts,
6786332,feature,2021-01-25 17:48:32 UTC,2022-02-02 21:33:07 UTC,New Widget editor,"Main User Benefit : Simplify widget creation / edition thanks to a wysiwyg editor - Visual editor for the creation of widgets from scratch - Library of ready to use widgets: pop-in, banners, countdown banner... - Easy management of created widget, with a widget dashboard page - Update of the logic we associate widgets in campaigns ![](https://pb-files.s3.amazonaws.com/production/attachments/10a0c54592bc8f5924a326d97bc9e31147da4b8c17f75909f092e3168e89ddb2/10A.jpg) <p></p> ![](https://pb-files.s3.amazonaws.com/production/attachments/c65d02042d0ea3d74f505f6045fac319ceb8910e6ba42ca4ecdae06e7c3ea2dc/Type_of_creation_(1).jpeg) <p></p> **Hypothesis driving this project** Marketers do not see the value of our existing widget library (and to some extend our personalization module) because widgets cannot be easily customized to their needs, so we expect that solving this problem will increase the overall satisfaction of customers with our Personalization module and increase our ability to convince marketers users during sales speech. <p></p> **Metric(s) and Baseline: How we will evaluate success** Baseline: number of predefined widgets used in production / month <p></p> Metrics to measure when the feature is released: 1. Number of widgets created 2. NPS satisfaction measured for personalization customers (Appcues NPS for personalization customers only) 3. Win rate against AB Tasty thanks to the new widget graphic editor <p></p> **Business Impact** - We expect to upsell more existing A/B testing customers to the Personalization module - We expect to increase our winning rate against A/B Tasty <p></p> **Problem Statement. What pain point(s) are we trying to address?**  - Today we provide a library of predefined widgets for marketers and a code-based editor to build custom widgets for developers. However, marketers can not simply create new widgets (eg. popin or banner) or adapt our existing widgets to their needs because we do not provide the right user experience or the right tools for that, so we expect that solving this problem will increase the satisfaction among our existing customers and improve our sales performance (especially when we are against AB Tasty)  <p></p> **How do people currently solve this problem? How do our competitors address this problem?** - They mainly ask our professional team to build custom widgets (with code) - Some competitors (Dynamic Yield or AB Tasty) provide a graphic editor or well designed widgets that can be easily customizable. <p></p> **What is the project type and our justification for doing this project?** - Requested capability among SMB customers with no access to a technical team. - Some customers churned by the past to AB Tasty because they offered a more adapted product to their needs. <p></p> **Jobs to be done**   <u>P0 “Must have”</u> - Graphic editor for Personalization customers only - library of predefined templates that a customer can use if he does not want to start from scratch <p></p> <u>P1 “Nice to have”</u> - Module that can be added as an add-on to A/B testing only customers - Ability to generate a HTML view (to embed on a mobile app as a webview). Requested by BPCE Customer) and would make sense for mobile apps customers. Dynamic Yield provides this option. - Additional components (countdown, tooltip, newsletter popin..) <p></p> **When do we expect to launch?** - End of January in production - A/B testing customers only will still be able to use the existing library of widgets. So no change/update for them. <p></p>",Released,,9564753,Widgets,Tribe Marketers,"external, Key Feature, 🙂 Perso Squad",2021-11-01,2022-01-31,,should have,not set,not set,,80,100,,,,,,,,,Completed,In progress,Completed,40,,,,,,,,,,,,,,,,,Squad Perso,,,13,,90,2.25,,,,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tribe Marketers,
6786335,feature,2021-01-25 17:48:50 UTC,2022-03-08 13:53:28 UTC,Audience middle-term enhancements,<p></p> <p></p>,Candidate,,9564706,Audiences,Tribe Marketers,_⭐ Reporting Squad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Squad Data,,,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tribe Marketers,
6786338,feature,2021-01-25 17:49:34 UTC,2021-10-12 10:25:25 UTC,BPCE topics,Topics to determine dedicated to BPCE Customer.,Planned,,9564719,Autopromo Personalization,Tribe Marketers,🙂 Perso Squad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Squad Perso,,,21.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tribe Marketers,
6786348,feature,2021-01-25 17:51:36 UTC,2021-10-12 13:14:23 UTC,Alias for Site URL,"- Addition of a text input for the name on the website creation pop-in - Adaptation of overlays"" ![](https://pb-files.s3.amazonaws.com/production/attachments/c81aaa56b921e09acd61542f59a634c475c5fa47ed7d98b9f8fca299c4a824c7/2A.jpg) <p></p>",Released,,9973300,Sites,Tribe Marketers,🙂 Interface squad,2021-08-01,2021-10-12,,,,,,40,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Squad Interfaces,,,4.5,,60,60,,,,80,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tribe Marketers,
